Time,High,Low,Close,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
1/6/2023 7:15,0.999438,0.998113,0.999285,40,1.0019,0.9981,1.003153,0.997296,1.001584,1.000469,1.002698,0.998746,0.999222,1.000812,1.000951,1.001473,0.998607,0.999948,1.000944,1.001186,1.003603,0.304130895,0.28464406,16811.86611
1/6/2023 7:30,0.999567,0.998986,0.999034,24,1.001826,0.998174,1.003191,0.997242,1.001657,1.000557,1.00273,0.998747,0.999185,1.000835,1.001039,1.001561,0.998731,1.00005,1.001045,1.001288,1.003705,0.341818173,0.295874667,16810.156
1/6/2023 7:45,0.99928,0.998767,0.999134,43,1.001746,0.998254,1.003088,0.997271,1.001709,1.000626,1.002748,0.998727,0.99914,1.000864,1.001118,1.001633,0.998847,1.000141,1.001137,1.001379,1.003796,0.368696604,0.313098908,16808.62305
1/6/2023 8:00,0.999666,0.999024,0.999578,11,1.0017,0.9983,1.002989,0.997292,1.001723,1.000651,1.002734,0.998673,0.999197,1.00086,1.001164,1.001662,0.998916,1.000186,1.001181,1.001424,1.003841,0.423183872,0.343338511,16807.87704
1/6/2023 8:15,1.000255,0.999493,1.000037,9,1.001683,0.998317,1.002645,0.997449,1.0017,1.000635,1.002694,0.998595,0.999257,1.000816,1.001157,1.001643,0.998937,1.000158,1.001177,1.00139,1.003837,0.526109201,0.395170021,16807.94209
1/6/2023 8:30,1.000238,0.999746,1.000031,43,1.001613,0.998387,1.002228,0.997676,1.001684,1.000622,1.002657,0.998525,0.999438,1.000774,1.001145,1.001624,0.998957,1.000154,1.001174,1.001373,1.001281,0.584754286,0.453739554,16807.99617
1/6/2023 8:45,1.000092,0.999512,0.999683,27,1.001568,0.998432,1.0019,0.997883,1.001705,1.000642,1.002648,0.998484,0.999624,1.000739,1.001165,1.001635,0.999014,1.000088,1.001207,1.001406,1.000534,0.563814695,0.495441684,16807.43559
1/6/2023 9:00,0.999798,0.998592,0.998998,9,1.001652,0.998348,1.00168,0.998061,1.001788,1.000722,1.002686,0.998488,0.999636,1.000736,1.001253,1.001716,0.999139,1.000018,1.001313,1.001512,1.000639,0.457398196,0.498630243,16805.66363
1/6/2023 9:15,0.999139,0.99756,0.998774,22,1.001803,0.998197,1.001865,0.997966,1.001889,1.000819,1.002722,0.998485,0.999671,1.00073,1.001369,1.001823,0.999289,0.999467,1.000923,1.001641,1.000769,0.407413028,0.483848678,16803.49471
1/6/2023 9:30,0.999011,0.997999,0.99895,35,1.001825,0.998175,1.001898,0.997958,1.001975,1.000903,1.002748,0.998469,0.999696,1.000703,1.001466,1.001906,0.99942,0.999578,1.001033,1.001501,1.000879,0.413172283,0.468164252,16801.63807
1/6/2023 9:45,0.999659,0.998721,0.999217,47,1.00183,0.99817,1.001707,0.998101,1.002038,1.000965,1.002768,0.998445,0.999662,1.00067,1.001539,1.001965,0.999522,0.999572,1.001116,1.001583,1.000962,0.464115106,0.463627116,16800.25349
1/6/2023 10:00,0.999582,0.998997,0.999216,26,1.001765,0.998235,1.001611,0.998179,1.002098,1.001029,1.002792,0.998422,0.99955,1.000635,1.001611,1.002019,0.999623,0.999487,1.001198,1.001666,1.001044,0.470404987,0.45920062,16798.86744
1/6/2023 10:15,0.999813,0.999204,0.999366,27,1.00171,0.99829,1.001567,0.998221,1.002141,1.001078,1.002807,0.998391,0.999434,1.000631,1.00167,1.002067,0.999707,0.999508,1.001265,1.001733,1.001111,0.473816424,0.45761642,16797.74578
1/6/2023 10:30,1.000316,0.999305,0.99996,9,1.001741,0.998259,1.001517,0.998237,1.002129,1.001061,1.002777,0.998317,0.999395,1.000592,1.001668,1.002054,0.999731,0.999512,1.00127,1.001737,1.001115,0.532610424,0.474692786,16797.67476
