Time,Open,High,Low,Close,Volume,Volume_quote,hlc3,ohlc4,hl2,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
2023-02-10 13:15:00,21777.47,21830.0,21776.98,21795.39,4229.2,92216334.2,21800.79,21794.96,21803.49,46,21923.96656036784,21676.775093075255,21961.49839368728,21663.87060631338,22225.65499391979,22132.4899381943,22022.10703453152,21619.336777233195,21760.812857142682,21827.32911764708,22052.9214141411,22451.214649999896,22691.330382165594,21793.864999999998,21780.28,21973.88,22316.895,0.42584058011265924,0.3469852505748751,21800.370826721548
2023-02-10 13:30:00,21794.73,21820.79,21756.45,21814.52,3485.17,75913137.68,21797.25,21796.62,21788.62,0,21925.822527315442,21677.614206752118,21951.312441209084,21667.67055879158,22219.26259135979,22125.113074305413,22011.12370133966,21627.514431993673,21772.38428571411,21827.370588235317,22043.921616161304,22444.526799999894,22687.746496815274,21793.864999999998,21780.28,21973.059999999998,22310.675000000003,0.49024957163998434,0.3906506414385072,21801.71836703378
2023-02-10 13:45:00,21814.09,21818.61,21757.02,21767.87,3101.66,67584861.61,21781.17,21789.4,21787.82,9,21922.50645728406,21674.482968777065,21936.414321930322,21670.417678070342,22212.914445439794,22117.77453263875,22000.096311785437,21634.54792350868,21772.561428571255,21827.55029411767,22034.333636363324,22437.570799999892,22684.038439490432,21793.864999999998,21780.28,21959.4225,22308.15,0.45442908812923216,0.4153924091176217,21798.494713030563
2023-02-10 14:00:00,21767.88,21806.43,21754.82,21802.69,2654.98,57826521.18,21787.98,21782.96,21780.63,11,21920.826833998657,21676.961694342364,21923.569024857763,21676.098975142897,22206.517011839795,22110.291428472083,21989.909191197963,21641.3561264491,21778.94285714268,21826.671176470612,22025.35212121181,22430.621599999893,22680.512324840754,21789.07,21780.28,21959.4225,22308.15,0.49458228542938176,0.4429906153226463,21798.89426417051
2023-02-10 14:15:00,21802.52,21838.84,21795.89,21806.42,3896.21,85016861.53,21813.72,21810.92,21817.37,43,21917.940313761508,21681.28168807084,21903.834753903615,21687.674246097045,22199.418746879794,22103.11097777764,21981.241626963107,21648.752553429047,21783.19285714268,21826.954705882377,22016.390404040092,22423.794399999893,22676.99484076432,21786.315,21780.28,21951.5925,22308.15,0.5379857941688556,0.47425287498257057,21799.611000916175
2023-02-10 14:30:00,21806.02,21890.0,21802.0,21817.57,7601.5,166034299.77,21836.52,21828.9,21846.0,0,21925.417763342102,21677.2250002205,21891.387635757248,21695.268364243417,22192.69641983979,22095.845873610975,21973.948443569792,21656.667917214534,21797.348571428392,21826.372647058844,22006.996363636048,22416.999249999895,22673.604299363047,21786.22,21780.28,21948.2725,22304.67,0.5758534862544682,0.5083942394718262,21801.3213817813
2023-02-10 14:45:00,21817.57,21879.94,21805.08,21841.55,5901.91,128943021.92,21842.19,21836.04,21842.51,27,21931.81142215923,21678.493935349794,21896.011934529808,21692.776065470855,22186.312771839792,22088.488003472088,21967.383230804404,21664.39250252893,21806.57285714268,21826.175882352964,21997.934444444127,22410.589799999892,22670.24178343948,21786.22,21780.28,21945.739999999998,22303.485,0.6248099507517114,0.5452384177459217,21805.15267875451
2023-02-10 15:00:00,21841.31,21894.85,21780.0,21874.28,7731.96,168811581.64,21849.71,21847.61,21837.43,0,21948.69910222309,21674.7733640946,21910.465798412464,21683.792201588192,22179.943498879795,22080.88050902764,21961.56683507635,21672.010827668746,21817.842857142678,21826.78647058826,21988.986767676448,22404.378399999896,22666.986656050944,21788.644999999997,21780.28,21945.739999999998,22297.760000000002,0.6924743152980847,0.5896516124102265,21811.736233158845
2023-02-10 15:15:00,21873.58,21901.24,21826.86,21840.41,5133.17,112232175.18,21856.17,21860.52,21864.05,0,21952.609650253922,21676.324485938276,21915.51071554526,21682.1002844554,22173.604948479795,22073.554272222085,21956.385303293093,21679.565081020635,21821.541428571247,21825.777058823554,21980.369191918875,22398.252449999898,22663.699203821645,21791.84,21780.28,21943.5175,22289.66,0.6994121268586234,0.6262766265651863,21814.4670680961
2023-02-10 15:30:00,21840.4,21853.84,21711.15,21722.26,5717.85,124619466.82,21762.42,21781.91,21782.5,0,21958.551766505174,21652.819118621097,21918.510276517667,21668.52972348299,22166.847109119793,22065.51712499986,21948.016251781064,21683.04994429737,21815.025714285533,21822.07647058826,21970.550707070386,22391.220299999895,22659.75805732483,21791.84,21780.28,21942.927499999998,22283.685,0.5518212547525078,0.6185338314358088,21805.685442563135
2023-02-10 15:45:00,21723.87,21723.87,21520.0,21654.09,11687.87,252716952.19,21632.65,21655.46,21621.94,9,21969.60147291448,21612.89408981881,21932.445222129063,21635.06577787159,22158.536703359794,22055.91773958319,21935.634824563338,21680.577551907252,21793.79714285696,21816.749411764733,21960.18686868655,22383.916349999894,22655.71070063693,21710.620000000003,21729.08,21942.927499999998,22283.685,0.4606513675799902,0.584520272848185,21791.247781366645
